  'device name' , 'row' , 'pod' , 'cabinet' , 'bottom U' , 'top U' , 'device type'
  'node114' , '5' , 'a' , '10' , '11' , '12' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node115' , '5' , 'a' , '10' , '13' , '14' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node116' , '5' , 'a' , '10' , '15' , '16' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node117' , '5' , 'a' , '10' , '17' , '18' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node118' , '5' , 'a' , '10' , '19' , '20' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node119' , '5' , 'a' , '10' , '21' , '22' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node120' , '5' , 'a' , '10' , '23' , '24' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node121' , '5' , 'a' , '10' , '25' , '26' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node122' , '5' , 'a' , '10' , '27' , '28' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node123' , '5' , 'a' , '10' , '29' , '30' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node124' , '5' , 'a' , '10' , '31' , '32' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node125' , '5' , 'a' , '10' , '33' , '34' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node126' , '5' , 'a' , '10' , '35' , '36' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node127' , '5' , 'a' , '13' , '01' , '02' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node128' , '5' , 'a' , '13' , '03' , '04' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node129' , '5' , 'a' , '13' , '05' , '06' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node130' , '5' , 'a' , '13' , '07' , '08' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node131' , '5' , 'a' , '13' , '09' , '10' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node132' , '5' , 'a' , '13' , '11' , '12' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node133' , '5' , 'a' , '13' , '13' , '14' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node134' , '5' , 'a' , '13' , '15' , '16' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node135' , '5' , 'a' , '13' , '17' , '18' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node136' , '5' , 'a' , '13' , '19' , '20' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node137' , '5' , 'a' , '13' , '21' , '22' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node138' , '5' , 'a' , '13' , '23' , '24' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node139' , '5' , 'a' , '13' , '25' , '26' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node140' , '5' , 'a' , '13' , '27' , '28' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node141' , '5' , 'a' , '13' , '29' , '30' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node142' , '5' , 'a' , '13' , '31' , '32' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node143' , '5' , 'a' , '13' , '33' , '34' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node144' , '5' , 'a' , '13' , '35' , '36' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node145' , '5' , 'a' , '14' , '01' , '02' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node146' , '5' , 'a' , '14' , '03' , '04' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node147' , '5' , 'a' , '14' , '05' , '06' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node148' , '5' , 'a' , '14' , '07' , '08' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node149' , '5' , 'a' , '14' , '09' , '10' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node150' , '5' , 'a' , '14' , '11' , '12' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node151' , '5' , 'a' , '14' , '13' , '14' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node152' , '5' , 'a' , '14' , '15' , '16' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node153' , '5' , 'a' , '14' , '17' , '18' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node154' , '5' , 'a' , '14' , '19' , '20' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node155' , '5' , 'a' , '14' , '21' , '22' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node156' , '5' , 'a' , '14' , '23' , '24' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node157' , '5' , 'a' , '14' , '25' , '26' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node158' , '5' , 'a' , '14' , '27' , '28' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node159' , '5' , 'a' , '14' , '29' , '30' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node160' , '5' , 'a' , '14' , '31' , '32' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node161' , '5' , 'a' , '14' , '33' , '34' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node162' , '5' , 'a' , '14' , '35' , '36' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node163' , '5' , 'a' , '15' , '01' , '02' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node164' , '5' , 'a' , '15' , '03' , '04' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node165' , '5' , 'a' , '15' , '05' , '06' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node166' , '5' , 'a' , '15' , '07' , '08' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node167' , '5' , 'a' , '15' , '09' , '10' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node168' , '5' , 'a' , '15' , '11' , '12' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node169' , '5' , 'a' , '15' , '13' , '14' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node170' , '5' , 'a' , '15' , '15' , '16' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node171' , '5' , 'a' , '15' , '17' , '18' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node172' , '5' , 'a' , '15' , '19' , '20' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node173' , '5' , 'a' , '15' , '21' , '22' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node174' , '5' , 'a' , '15' , '23' , '24' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node175' , '5' , 'a' , '15' , '25' , '26' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node176' , '5' , 'a' , '15' , '27' , '28' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node177' , '5' , 'a' , '15' , '29' , '30' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node178' , '5' , 'a' , '15' , '31' , '32' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node179' , '5' , 'a' , '15' , '33' , '34' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node180' , '5' , 'a' , '15' , '35' , '36' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node181' , '5' , 'a' , '16' , '01' , '02' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node182' , '5' , 'a' , '16' , '03' , '04' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node183' , '5' , 'a' , '16' , '05' , '06' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node184' , '5' , 'a' , '16' , '07' , '08' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node185' , '5' , 'a' , '16' , '09' , '10' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node186' , '5' , 'a' , '16' , '11' , '12' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node187' , '5' , 'a' , '16' , '13' , '14' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node188' , '5' , 'a' , '16' , '15' , '16' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node189' , '5' , 'a' , '16' , '17' , '18' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node190' , '5' , 'a' , '16' , '19' , '20' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node191' , '5' , 'a' , '16' , '21' , '22' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node192' , '5' , 'a' , '16' , '23' , '24' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node193' , '5' , 'a' , '16' , '25' , '26' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node194' , '5' , 'a' , '16' , '27' , '28' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node195' , '5' , 'a' , '16' , '29' , '30' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node196' , '5' , 'a' , '16' , '31' , '32' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node197' , '5' , 'a' , '16' , '33' , '34' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node198' , '5' , 'a' , '16' , '35' , '36' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node199' , '5' , 'a' , '17' , '01' , '02' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "follows (darwin)"}'
  'node200' , '5' , 'a' , '17' , '03' , '04' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "follows (darwin)"}'
  'node201' , '5' , 'a' , '17' , '05' , '06' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "follows (darwin)"}'
  'node202' , '5' , 'a' , '17' , '07' , '08' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "follows (darwin)"}'
  'node203' , '5' , 'a' , '17' , '09' , '10' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "follows (darwin)"}'
  'node204' , '5' , 'a' , '17' , '11' , '12' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "follows (darwin)"}'
  'node205' , '5' , 'a' , '17' , '13' , '14' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "follows (darwin)"}'
  'node206' , '5' , 'a' , '17' , '15' , '16' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "follows (darwin)"}'
  'node207' , '5' , 'a' , '17' , '17' , '18' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "follows (darwin)"}'
  'node208' , '5' , 'a' , '17' , '19' , '20' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "follows (darwin)"}'
  'node209' , '5' , 'a' , '17' , '21' , '22' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "follows (darwin)"}'
